PROC_REA,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,Norte,218,2033,3,21876356.0,17936336.0,22812292.0
303010037,Norte,219,2033,4,22047642.0,18075426.0,22827482.0
303010037,Norte,220,2033,5,22113848.0,18172704.0,22838414.0
303010037,Norte,221,2033,6,22126844.0,18234020.0,22840940.0
303010037,Norte,222,2033,7,22118108.0,18270468.0,22837368.0
303010037,Norte,223,2033,8,22092938.0,18292470.0,22824348.0
303010037,Norte,224,2033,9,22058578.0,18302768.0,22805678.0
303010037,Norte,225,2033,10,22022802.0,18306434.0,22786330.0
303010037,Norte,226,2033,11,21984108.0,18306572.0,22764610.0
303010037,Norte,227,2033,12,21943892.0,18304618.0,22744212.0
303010037,Norte,228,2034,1,20814334.0,18510498.0,21938618.0
303010037,Norte,229,2034,2,21273496.0,18606140.0,22051552.0
303010037,Norte,230,2034,3,21542784.0,18728086.0,22098204.0
303010037,Norte,231,2034,4,21668308.0,18829200.0,22122244.0
303010037,Norte,232,2034,5,21718912.0,18899326.0,22140100.0
303010037,Norte,233,2034,6,21734202.0,18942162.0,22151672.0
303010037,Norte,234,2034,7,21728816.0,18968446.0,22154588.0
303010037,Norte,235,2034,8,21714356.0,18982888.0,22152686.0
303010037,Norte,236,2034,9,21694194.0,18989116.0,22145842.0
303010037,Norte,237,2034,10,21669464.0,18992484.0,22137608.0
303010037,Norte,238,2034,11,21644268.0,18992340.0,22127940.0
303010037,Norte,239,2034,12,21617532.0,18989224.0,22118320.0
303010037,Sudeste,120,2025,1,83560480.0,57733900.0,102477340.0
303010037,Sudeste,121,2025,2,85457096.0,58347748.0,101775520.0
303010037,Sudeste,122,2025,3,86535060.0,59131772.0,100824136.0
303010037,Sudeste,123,2025,4,86936900.0,59856424.0,99856696.0
303010037,Sudeste,124,2025,5,86913180.0,60458120.0,98920616.0
303010037,Sudeste,125,2025,6,86669010.0,60948690.0,98020590.0
303010037,Sudeste,126,2025,7,86308730.0,61329896.0,97124136.0
303010037,Sudeste,127,2025,8,85868840.0,61608464.0,96234776.0
303010037,Sudeste,128,2025,9,85363420.0,61820460.0,95346104.0
303010037,Sudeste,129,2025,10,84827000.0,61948530.0,94472480.0
303010037,Sudeste,130,2025,11,84229510.0,62018750.0,93578296.0
303010037,Sudeste,131,2025,12,83612616.0,62037452.0,92720700.0
303010037,Sudeste,132,2026,1,80311370.0,61505610.0,103929050.0
303010037,Sudeste,133,2026,2,84123544.0,62007756.0,105200070.0
303010037,Sudeste,134,2026,3,88531600.0,63321384.0,105659370.0
303010037,Sudeste,135,2026,4,91366810.0,64816704.0,104916330.0
303010037,Sudeste,136,2026,5,92521070.0,66034740.0,103766824.0
303010037,Sudeste,137,2026,6,92754310.0,66885564.0,102695320.0
303010037,Sudeste,138,2026,7,92568904.0,67471250.0,101748920.0
303010037,Sudeste,139,2026,8,92204856.0,67863480.0,100900130.0
303010037,Sudeste,140,2026,9,91742264.0,68127010.0,100092190.0
303010037,Sudeste,141,2026,10,91225760.0,68303440.0,99300200.0
303010037,Sudeste,142,2026,11,90695920.0,68410220.0,98559016.0
303010037,Sudeste,143,2026,12,90132856.0,68466744.0,97817580.0
