PA_PROC_ID,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
301010048,151,2027,8,95302920.0,89104720.0,98175700.0
301010048,152,2027,9,95432770.0,89378744.0,98113780.0
301010048,153,2027,10,95520290.0,89584480.0,98048020.0
301010048,154,2027,11,95570264.0,89720970.0,97958430.0
301010048,155,2027,12,95597040.0,89807944.0,97863656.0
301010048,156,2028,1,97793910.0,91559500.0,102075510.0
301010048,157,2028,2,98478700.0,92666930.0,102535850.0
301010048,158,2028,3,98994040.0,93519510.0,102578730.0
301010048,159,2028,4,99357390.0,94143340.0,102463120.0
301010048,160,2028,5,99608360.0,94592600.0,102297120.0
301010048,161,2028,6,99790920.0,94920130.0,102142340.0
301010048,162,2028,7,99933770.0,95178220.0,102026664.0
301010048,163,2028,8,100041140.0,95401340.0,101936360.0
301010048,164,2028,9,100124376.0,95597250.0,101872610.0
301010048,165,2028,10,100178376.0,95743496.0,101806160.0
301010048,166,2028,11,100205410.0,95838430.0,101729560.0
301010048,167,2028,12,100219120.0,95898584.0,101647600.0
301010048,168,2029,1,99339304.0,95019410.0,102029530.0
301010048,169,2029,2,99769640.0,95754540.0,102287120.0
301010048,170,2029,3,100089864.0,96317890.0,102264550.0
301010048,171,2029,4,100302424.0,96717790.0,102146490.0
301010048,172,2029,5,100451624.0,97002280.0,102008730.0
301010048,173,2029,6,100561390.0,97209430.0,101892170.0
301010048,174,2029,7,100645310.0,97373840.0,101798104.0
301010048,175,2029,8,100714210.0,97518744.0,101736540.0
301010048,176,2029,9,100765200.0,97648000.0,101690216.0
301010048,177,2029,10,100794560.0,97744104.0,101643410.0
301010048,178,2029,11,100810180.0,97806420.0,101590660.0
301010048,179,2029,12,100818380.0,97846830.0,101532960.0
301010048,180,2030,1,103009350.0,98727040.0,105565020.0
301010048,181,2030,2,103405350.0,99453670.0,105751420.0
301010048,182,2030,3,103701080.0,100005280.0,105669400.0
301010048,183,2030,4,103892360.0,100389624.0,105502270.0
301010048,184,2030,5,104023680.0,100655970.0,105335640.0
301010048,185,2030,6,104116630.0,100847390.0,105196530.0
301010048,186,2030,7,104192360.0,100998530.0,105093464.0
301010048,187,2030,8,104251624.0,101134780.0,105021496.0
301010048,188,2030,9,104296940.0,101258280.0,104971980.0
301010048,189,2030,10,104323190.0,101352024.0,104925704.0
301010048,190,2030,11,104335930.0,101413110.0,104871230.0
301010048,191,2030,12,104339910.0,101448130.0,104812740.0
301010048,192,2031,1,102353496.0,100178250.0,103454300.0
301010048,193,2031,2,102555610.0,100560830.0,103558340.0
301010048,194,2031,3,102697940.0,100843544.0,103511384.0
301010048,195,2031,4,102787256.0,101035230.0,103423030.0
301010048,196,2031,5,102846420.0,101166190.0,103334340.0
301010048,197,2031,6,102888780.0,101257770.0,103262650.0
301010048,198,2031,7,102922824.0,101332424.0,103210040.0
301010048,199,2031,8,102950300.0,101397560.0,103177280.0
301010048,200,2031,9,102971864.0,101458790.0,103154280.0
301010048,201,2031,10,102984620.0,101503420.0,103133420.0
301010048,202,2031,11,102991176.0,101533780.0,103109880.0
301010048,203,2031,12,102990500.0,101550670.0,103079384.0
301010048,204,2032,1,105489360.0,103013390.0,106576980.0
301010048,205,2032,2,105723030.0,103467544.0,106701890.0
301010048,206,2032,3,105879240.0,103795680.0,106639220.0
301010048,207,2032,4,105975464.0,104013240.0,106530190.0
301010048,208,2032,5,106038090.0,104157890.0,106424570.0
301010048,209,2032,6,106080250.0,104258590.0,106338230.0
301010048,210,2032,7,106117440.0,104338410.0,106281816.0
301010048,211,2032,8,106145250.0,104412470.0,106241410.0
301010048,212,2032,9,106170024.0,104479820.0,106217910.0
301010048,213,2032,10,106183150.0,104531470.0,106197840.0
